ID,EDO.JS name,Pitches,Note 2,Note 3,Note 4,Note 5,Note 6,Note 7,# IC 1,# IC 2,# IC 3,# IC 4,# IC 5,# IC 6,Polygon Area,Coherence Quotient,Alterations from diatonic in closest mode,# modes that cannot be mapped into Stable / active notes,# modes that can be mapped onto unique scalar roles
0,1387,"0,1,3,5,6,8,10",1,3,5,6,8,10,2,5,4,3,6,1,0.848316062,0.992857143,0,1,6
1,727,"0,1,2,4,6,7,9",1,2,4,6,7,9,3,4,4,3,5,2,0.811384029,0.771428571,1,3,3
2,743,"0,1,2,5,6,7,9",1,2,5,6,7,9,4,3,3,4,5,2,0.774451996,0.742857143,2,4,2
3,695,"0,1,2,4,5,7,9",1,2,4,5,7,9,3,4,4,4,5,1,0.811384029,0.685714286,2,4,2
4,463,"0,1,2,3,6,7,8",1,2,3,6,7,8,5,3,2,3,5,3,0.694874525,0.65,3,5,0
5,431,"0,1,2,3,5,7,8",1,2,3,5,7,8,4,4,3,3,5,2,0.731806558,0.55,2,4,0
6,701,"0,2,3,4,5,7,9",2,3,4,5,7,9,3,5,4,3,5,1,0.811384029,0.507142857,3,4,0
7,1371,"0,1,3,4,6,8,10",1,3,4,6,8,10,2,5,4,4,4,2,0.848316062,0.928571429,1,3,4
8,239,"0,1,2,3,5,6,7",1,2,3,5,6,7,5,4,3,3,4,2,0.615297053,0.464285714,4,6,0
9,731,"0,1,3,4,6,7,9",1,3,4,6,7,9,3,3,6,3,3,3,0.811384029,0.778571429,2,4,2
10,319,"0,1,2,3,4,5,8",1,2,3,4,5,8,5,4,4,4,3,1,0.694874525,0.357142857,4,6,0
11,1367,"0,1,2,4,6,8,10",1,2,4,6,8,10,2,6,2,6,2,3,0.848316062,0.75,2,5,2
12,381,"0,2,3,4,5,6,8",2,3,4,5,6,8,4,5,4,4,2,2,0.731806558,0.392857143,4,7,0
13,367,"0,1,2,3,5,6,8",1,2,3,5,6,8,4,4,4,3,4,2,0.731806558,0.485714286,3,5,0
